id,asset,year,rep_period,time_block_start,time_block_end,dual_min_output_flow_with_unit_commitment
429,BE_Coal,2030,8,21,21,0.0
430,BE_Coal,2030,8,22,22,0.0
431,BE_Coal,2030,8,23,23,0.0
432,BE_Coal,2030,8,24,24,0.0
433,BE_Coal,2030,9,1,1,0.0
434,BE_Coal,2030,9,2,2,0.0
435,BE_Coal,2030,9,3,3,0.0
436,BE_Coal,2030,9,4,4,0.0
437,BE_Coal,2030,9,5,5,0.0
438,BE_Coal,2030,9,6,6,0.0
439,BE_Coal,2030,9,7,7,0.0
440,BE_Coal,2030,9,8,8,0.0
441,BE_Coal,2030,9,9,9,0.0
442,BE_Coal,2030,9,10,10,0.0
443,BE_Coal,2030,9,11,11,0.0
444,BE_Coal,2030,9,12,12,0.0
445,BE_Coal,2030,9,13,13,0.0
446,BE_Coal,2030,9,14,14,0.0
447,BE_Coal,2030,9,15,15,0.0
448,BE_Coal,2030,9,16,16,0.0
449,BE_Coal,2030,9,17,17,0.0
450,BE_Coal,2030,9,18,18,0.0
451,BE_Coal,2030,9,19,19,-0.0
452,BE_Coal,2030,9,20,20,-0.0
453,BE_Coal,2030,9,21,21,0.0
454,BE_Coal,2030,9,22,22,0.0
455,BE_Coal,2030,9,23,23,0.0
456,BE_Coal,2030,9,24,24,0.0
457,BE_Coal,2030,10,1,1,0.0
458,BE_Coal,2030,10,2,2,0.0
459,BE_Coal,2030,10,3,3,0.0
460,BE_Coal,2030,10,4,4,0.0
461,BE_Coal,2030,10,5,5,0.0
462,BE_Coal,2030,10,6,6,0.0
463,BE_Coal,2030,10,7,7,0.0
464,BE_Coal,2030,10,8,8,0.0
465,BE_Coal,2030,10,9,9,0.0
466,BE_Coal,2030,10,10,10,0.0
467,BE_Coal,2030,10,11,11,0.0
468,BE_Coal,2030,10,12,12,0.0
469,BE_Coal,2030,10,13,13,0.0
470,BE_Coal,2030,10,14,14,0.0
471,BE_Coal,2030,10,15,15,0.0
472,BE_Coal,2030,10,16,16,0.0
473,BE_Coal,2030,10,17,17,0.0
474,BE_Coal,2030,10,18,18,0.0
475,BE_Coal,2030,10,19,19,0.0
476,BE_Coal,2030,10,20,20,0.0
477,BE_Coal,2030,10,21,21,0.0
478,BE_Coal,2030,10,22,22,0.0
479,BE_Coal,2030,10,23,23,0.0
480,BE_Coal,2030,10,24,24,0.0
481,BE_Nuclear,2030,1,1,1,0.0
482,BE_Nuclear,2030,1,2,2,0.0
483,BE_Nuclear,2030,1,3,3,0.0
484,BE_Nuclear,2030,1,4,4,0.0
485,BE_Nuclear,2030,1,5,5,0.0
486,BE_Nuclear,2030,1,6,6,0.0
487,BE_Nuclear,2030,1,7,7,0.0
488,BE_Nuclear,2030,1,8,8,0.0
489,BE_Nuclear,2030,1,9,9,0.0
490,BE_Nuclear,2030,1,10,10,0.0
491,BE_Nuclear,2030,1,11,11,0.0
492,BE_Nuclear,2030,1,12,12,0.0
493,BE_Nuclear,2030,1,13,13,0.0
494,BE_Nuclear,2030,1,14,14,0.0
495,BE_Nuclear,2030,1,15,15,0.0
496,BE_Nuclear,2030,1,16,16,0.0
497,BE_Nuclear,2030,1,17,17,0.0
498,BE_Nuclear,2030,1,18,18,0.0
499,BE_Nuclear,2030,1,19,19,0.0
500,BE_Nuclear,2030,1,20,20,0.0
501,BE_Nuclear,2030,1,21,21,0.0
502,BE_Nuclear,2030,1,22,22,0.0
