id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
194,LU_Balance,2030,9,7,12,0.516
195,LU_Balance,2030,9,13,18,0.516
196,LU_Balance,2030,9,19,24,4.5666
197,LU_Balance,2030,10,1,6,9.108
198,LU_Balance,2030,10,7,12,9.108
199,LU_Balance,2030,10,13,18,14.075999999999999
200,LU_Balance,2030,10,19,24,9.108
201,NL_Balance,2030,1,1,6,5.6286000000000005
202,NL_Balance,2030,1,7,12,10.494
203,NL_Balance,2030,1,13,18,5.6286000000000005
204,NL_Balance,2030,1,19,24,5.6286000000000005
205,NL_Balance,2030,2,1,6,0.396
206,NL_Balance,2030,2,7,12,3.5046
207,NL_Balance,2030,2,13,18,3.5046
208,NL_Balance,2030,2,19,24,3.5046
209,NL_Balance,2030,3,1,6,0.34800000000000003
210,NL_Balance,2030,3,7,12,0.34800000000000003
211,NL_Balance,2030,3,13,18,0.34800000000000003
212,NL_Balance,2030,3,19,24,0.34800000000000003
213,NL_Balance,2030,4,1,6,0.276
214,NL_Balance,2030,4,7,12,2.4426
215,NL_Balance,2030,4,13,18,2.4426
216,NL_Balance,2030,4,19,24,0.276
217,NL_Balance,2030,5,1,6,0.624
218,NL_Balance,2030,5,7,12,0.624
219,NL_Balance,2030,5,13,18,0.624
220,NL_Balance,2030,5,19,24,0.624
221,NL_Balance,2030,6,1,6,1.9116
222,NL_Balance,2030,6,7,12,1.9116
223,NL_Balance,2030,6,13,18,0.216
224,NL_Balance,2030,6,19,24,1.9116
225,NL_Balance,2030,7,1,6,7.3260000000000005
226,NL_Balance,2030,7,7,12,11.322
227,NL_Balance,2030,7,13,18,11.322
228,NL_Balance,2030,7,19,24,7.3260000000000005
229,NL_Balance,2030,8,1,6,0.372
230,NL_Balance,2030,8,7,12,0.372
231,NL_Balance,2030,8,13,18,0.372
232,NL_Balance,2030,8,19,24,0.372
233,NL_Balance,2030,9,1,6,0.516
234,NL_Balance,2030,9,7,12,0.516
235,NL_Balance,2030,9,13,18,0.516
236,NL_Balance,2030,9,19,24,4.5666
237,NL_Balance,2030,10,1,6,9.108
238,NL_Balance,2030,10,7,12,9.108
239,NL_Balance,2030,10,13,18,14.075999999999999
240,NL_Balance,2030,10,19,24,9.108
241,UK_Balance,2030,1,1,6,0.636
242,UK_Balance,2030,1,7,12,10.494
243,UK_Balance,2030,1,13,18,0.636
244,UK_Balance,2030,1,19,24,0.636
245,UK_Balance,2030,2,1,6,0.396
246,UK_Balance,2030,2,7,12,3.5046
