id,asset,year,rep_period,time_block_start,time_block_end,dual_minimum_up_time
176,DE_Coal,2030,4,19,24,0.0
177,DE_Coal,2030,5,1,6,0.0
178,DE_Coal,2030,5,7,12,0.0
179,DE_Coal,2030,5,13,18,0.0
180,DE_Coal,2030,5,19,24,0.0
181,DE_Coal,2030,6,1,6,0.0
182,DE_Coal,2030,6,7,12,0.0
183,DE_Coal,2030,6,13,18,0.0
184,DE_Coal,2030,6,19,24,0.0
185,DE_Coal,2030,7,1,6,0.0
186,DE_Coal,2030,7,7,12,0.0
187,DE_Coal,2030,7,13,18,0.0
188,DE_Coal,2030,7,19,24,0.0
189,DE_Coal,2030,8,1,6,0.0
190,DE_Coal,2030,8,7,12,0.0
191,DE_Coal,2030,8,13,18,0.0
192,DE_Coal,2030,8,19,24,0.0
193,DE_Coal,2030,9,1,6,0.0
194,DE_Coal,2030,9,7,12,0.0
195,DE_Coal,2030,9,13,18,0.0
196,DE_Coal,2030,9,19,24,0.0
197,DE_Coal,2030,10,1,6,0.0
198,DE_Coal,2030,10,7,12,0.0
199,DE_Coal,2030,10,13,18,0.0
200,DE_Coal,2030,10,19,24,0.0
201,DE_Nuclear,2030,1,1,6,0.0
202,DE_Nuclear,2030,1,7,12,0.0
203,DE_Nuclear,2030,1,13,18,0.0
204,DE_Nuclear,2030,1,19,24,0.0
205,DE_Nuclear,2030,2,1,6,0.0
206,DE_Nuclear,2030,2,7,12,0.0
207,DE_Nuclear,2030,2,13,18,0.0
208,DE_Nuclear,2030,2,19,24,0.0
209,DE_Nuclear,2030,3,1,6,0.0
210,DE_Nuclear,2030,3,7,12,0.0
211,DE_Nuclear,2030,3,13,18,0.0
212,DE_Nuclear,2030,3,19,24,0.0
213,DE_Nuclear,2030,4,1,6,0.0
214,DE_Nuclear,2030,4,7,12,0.0
215,DE_Nuclear,2030,4,13,18,0.0
216,DE_Nuclear,2030,4,19,24,0.0
217,DE_Nuclear,2030,5,1,6,0.0
218,DE_Nuclear,2030,5,7,12,0.0
219,DE_Nuclear,2030,5,13,18,0.0
220,DE_Nuclear,2030,5,19,24,0.0
221,DE_Nuclear,2030,6,1,6,0.0
222,DE_Nuclear,2030,6,7,12,0.0
223,DE_Nuclear,2030,6,13,18,0.0
224,DE_Nuclear,2030,6,19,24,0.0
225,DE_Nuclear,2030,7,1,6,0.0
226,DE_Nuclear,2030,7,7,12,0.0
227,DE_Nuclear,2030,7,13,18,0.0
228,DE_Nuclear,2030,7,19,24,0.0
229,DE_Nuclear,2030,8,1,6,0.0
230,DE_Nuclear,2030,8,7,12,0.0
231,DE_Nuclear,2030,8,13,18,0.0
232,DE_Nuclear,2030,8,19,24,0.0
233,DE_Nuclear,2030,9,1,6,0.0
234,DE_Nuclear,2030,9,7,12,0.0
235,DE_Nuclear,2030,9,13,18,0.0
236,DE_Nuclear,2030,9,19,24,0.0
237,DE_Nuclear,2030,10,1,6,0.0
238,DE_Nuclear,2030,10,7,12,0.0
239,DE_Nuclear,2030,10,13,18,0.0
240,DE_Nuclear,2030,10,19,24,0.0
241,FR_Coal,2030,1,1,6,0.0
242,FR_Coal,2030,1,7,12,0.0
243,FR_Coal,2030,1,13,18,0.0
244,FR_Coal,2030,1,19,24,0.0
245,FR_Coal,2030,2,1,6,0.0
246,FR_Coal,2030,2,7,12,0.0
247,FR_Coal,2030,2,13,18,0.0
248,FR_Coal,2030,2,19,24,0.0
249,FR_Coal,2030,3,1,6,0.0
250,FR_Coal,2030,3,7,12,0.0
251,FR_Coal,2030,3,13,18,0.0
252,FR_Coal,2030,3,19,24,0.0
253,FR_Coal,2030,4,1,6,0.0
254,FR_Coal,2030,4,7,12,0.0
255,FR_Coal,2030,4,13,18,0.0
256,FR_Coal,2030,4,19,24,0.0
257,FR_Coal,2030,5,1,6,0.0
258,FR_Coal,2030,5,7,12,0.0
259,FR_Coal,2030,5,13,18,0.0
260,FR_Coal,2030,5,19,24,0.0
261,FR_Coal,2030,6,1,6,0.0
262,FR_Coal,2030,6,7,12,0.0
263,FR_Coal,2030,6,13,18,0.0
264,FR_Coal,2030,6,19,24,0.0
265,FR_Coal,2030,7,1,6,0.0
266,FR_Coal,2030,7,7,12,0.0
267,FR_Coal,2030,7,13,18,0.0
268,FR_Coal,2030,7,19,24,0.0
269,FR_Coal,2030,8,1,6,0.0
270,FR_Coal,2030,8,7,12,0.0
271,FR_Coal,2030,8,13,18,0.0
272,FR_Coal,2030,8,19,24,0.0
273,FR_Coal,2030,9,1,6,0.0
274,FR_Coal,2030,9,7,12,0.0
275,FR_Coal,2030,9,13,18,0.0
