id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
97,FR_Wind_Offshore,FR_Balance,2030,1,1.0,1.0,1,6,0.0
98,FR_Wind_Offshore,FR_Balance,2030,1,1.0,1.0,7,12,0.0
99,FR_Wind_Offshore,FR_Balance,2030,1,1.0,1.0,13,18,0.0
100,FR_Wind_Offshore,FR_Balance,2030,1,1.0,1.0,19,24,0.0
101,FR_Coal,FR_Balance,2030,1,1.0,1.0,1,6,0.0
102,FR_Coal,FR_Balance,2030,1,1.0,1.0,7,12,2.384185791015626e-07
103,FR_Coal,FR_Balance,2030,1,1.0,1.0,13,18,2.384185791015626e-07
104,FR_Coal,FR_Balance,2030,1,1.0,1.0,19,24,2.384185791015626e-07
105,FR_Nuclear,FR_Balance,2030,1,1.0,1.0,1,6,9.536743164062504e-07
106,FR_Nuclear,FR_Balance,2030,1,1.0,1.0,7,12,9.536743164062504e-07
107,FR_Nuclear,FR_Balance,2030,1,1.0,1.0,13,18,9.536743164062504e-07
108,FR_Nuclear,FR_Balance,2030,1,1.0,1.0,19,24,9.536743164062504e-07
109,FR_CCGT,FR_Balance,2030,1,1.0,1.0,1,6,0.0
110,FR_CCGT,FR_Balance,2030,1,1.0,1.0,7,12,2142.0
111,FR_CCGT,FR_Balance,2030,1,1.0,1.0,13,18,0.0
112,FR_CCGT,FR_Balance,2030,1,1.0,1.0,19,24,2142.0
113,FR_OCGT,FR_Balance,2030,1,1.0,1.0,1,6,0.0
114,FR_OCGT,FR_Balance,2030,1,1.0,1.0,7,12,4360.658710054289
115,FR_OCGT,FR_Balance,2030,1,1.0,1.0,13,18,0.0
116,FR_OCGT,FR_Balance,2030,1,1.0,1.0,19,24,5539.750175989201
117,FR_Battery,FR_Balance,2030,1,1.0,1.0,1,6,0.0
118,FR_Battery,FR_Balance,2030,1,1.0,1.0,7,12,0.0
119,FR_Battery,FR_Balance,2030,1,1.0,1.0,13,18,0.0
120,FR_Battery,FR_Balance,2030,1,1.0,1.0,19,24,0.0
121,FR_Balance,FR_Battery,2030,1,1.0,1.0,1,6,0.0
122,FR_Balance,FR_Battery,2030,1,1.0,1.0,7,12,0.0
123,FR_Balance,FR_Battery,2030,1,1.0,1.0,13,18,0.0
124,FR_Balance,FR_Battery,2030,1,1.0,1.0,19,24,0.0
125,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,1,6,523.5070864480001
126,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,7,12,651.820643296
127,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,13,18,665.0219566159999
128,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,19,24,590.23085792
129,LU_Solar,LU_Balance,2030,1,1.0,1.0,1,6,0.0
130,LU_Solar,LU_Balance,2030,1,1.0,1.0,7,12,0.0
131,LU_Solar,LU_Balance,2030,1,1.0,1.0,13,18,0.0
132,LU_Solar,LU_Balance,2030,1,1.0,1.0,19,24,0.0
133,LU_Wind_Onshore,LU_Balance,2030,1,1.0,1.0,1,6,0.0
134,LU_Wind_Onshore,LU_Balance,2030,1,1.0,1.0,7,12,0.0
135,LU_Wind_Onshore,LU_Balance,2030,1,1.0,1.0,13,18,0.0
136,LU_Wind_Onshore,LU_Balance,2030,1,1.0,1.0,19,24,0.0
137,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,1,6,0.0
138,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,7,12,0.0
139,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,13,18,0.0
140,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,19,24,0.0
141,LU_Coal,LU_Balance,2030,1,1.0,1.0,1,6,1523.5070854943258
142,LU_Coal,LU_Balance,2030,1,1.0,1.0,7,12,1651.8206423423258
143,LU_Coal,LU_Balance,2030,1,1.0,1.0,13,18,0.0
144,LU_Coal,LU_Balance,2030,1,1.0,1.0,19,24,1590.2308569663255
145,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,1,6,9.536743164062504e-07
146,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,7,12,9.536743164062504e-07
147,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,13,18,9.536743164062504e-07
148,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,19,24,9.536743164062504e-07
149,LU_CCGT,LU_Balance,2030,1,1.0,1.0,1,6,0.0
150,LU_CCGT,LU_Balance,2030,1,1.0,1.0,7,12,0.0
151,LU_CCGT,LU_Balance,2030,1,1.0,1.0,13,18,0.0
152,LU_CCGT,LU_Balance,2030,1,1.0,1.0,19,24,0.0
153,LU_Battery,LU_Balance,2030,1,1.0,1.0,1,6,0.0
154,LU_Battery,LU_Balance,2030,1,1.0,1.0,7,12,0.0
155,LU_Battery,LU_Balance,2030,1,1.0,1.0,13,18,0.0
156,LU_Battery,LU_Balance,2030,1,1.0,1.0,19,24,0.0
157,CH_Solar,CH_Balance,2030,1,1.0,1.0,1,6,0.4660541702264121
158,CH_Solar,CH_Balance,2030,1,1.0,1.0,7,12,3009.495240939508
159,CH_Solar,CH_Balance,2030,1,1.0,1.0,13,18,4555.022561000264
160,CH_Solar,CH_Balance,2030,1,1.0,1.0,19,24,240.65841589709405
161,CH_Wind_Onshore,CH_Balance,2030,1,1.0,1.0,1,6,1794.5911898542317
162,CH_Wind_Onshore,CH_Balance,2030,1,1.0,1.0,7,12,1904.8674478112066
163,CH_Wind_Onshore,CH_Balance,2030,1,1.0,1.0,13,18,1866.9050567285904
164,CH_Wind_Onshore,CH_Balance,2030,1,1.0,1.0,19,24,3135.9828690930494
165,CH_Wind_Offshore,CH_Balance,2030,1,1.0,1.0,1,6,0.0
166,CH_Wind_Offshore,CH_Balance,2030,1,1.0,1.0,7,12,0.0
167,CH_Wind_Offshore,CH_Balance,2030,1,1.0,1.0,13,18,0.0
168,CH_Wind_Offshore,CH_Balance,2030,1,1.0,1.0,19,24,0.0
169,CH_Coal,CH_Balance,2030,1,1.0,1.0,1,6,0.0
170,CH_Coal,CH_Balance,2030,1,1.0,1.0,7,12,0.0
