id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flow_with_basic_unit_commitment
198,CH_CCGT,2030,10,7,12,0.0
199,CH_CCGT,2030,10,13,18,0.0
200,CH_CCGT,2030,10,19,24,0.0
201,CH_Coal,2030,1,1,6,0.0
202,CH_Coal,2030,1,7,12,0.0
203,CH_Coal,2030,1,13,18,0.0
204,CH_Coal,2030,1,19,24,0.0
205,CH_Coal,2030,2,1,6,0.0
206,CH_Coal,2030,2,7,12,0.0
207,CH_Coal,2030,2,13,18,0.0
208,CH_Coal,2030,2,19,24,0.0
209,CH_Coal,2030,3,1,6,0.0
210,CH_Coal,2030,3,7,12,0.0
211,CH_Coal,2030,3,13,18,0.0
212,CH_Coal,2030,3,19,24,0.0
213,CH_Coal,2030,4,1,6,0.0
214,CH_Coal,2030,4,7,12,0.0
215,CH_Coal,2030,4,13,18,0.0
216,CH_Coal,2030,4,19,24,0.0
217,CH_Coal,2030,5,1,6,0.0
218,CH_Coal,2030,5,7,12,0.0
219,CH_Coal,2030,5,13,18,0.0
220,CH_Coal,2030,5,19,24,0.0
221,CH_Coal,2030,6,1,6,0.0
222,CH_Coal,2030,6,7,12,0.0
223,CH_Coal,2030,6,13,18,0.0
224,CH_Coal,2030,6,19,24,0.0
225,CH_Coal,2030,7,1,6,0.0
226,CH_Coal,2030,7,7,12,0.0
227,CH_Coal,2030,7,13,18,0.0
228,CH_Coal,2030,7,19,24,0.0
229,CH_Coal,2030,8,1,6,0.0
230,CH_Coal,2030,8,7,12,0.0
231,CH_Coal,2030,8,13,18,0.0
232,CH_Coal,2030,8,19,24,0.0
233,CH_Coal,2030,9,1,6,0.0
234,CH_Coal,2030,9,7,12,0.0
235,CH_Coal,2030,9,13,18,0.0
236,CH_Coal,2030,9,19,24,0.0
237,CH_Coal,2030,10,1,6,0.0
238,CH_Coal,2030,10,7,12,0.0
239,CH_Coal,2030,10,13,18,0.0
240,CH_Coal,2030,10,19,24,0.0
241,CH_Nuclear,2030,1,1,6,0.0
242,CH_Nuclear,2030,1,7,12,0.0
243,CH_Nuclear,2030,1,13,18,0.0
244,CH_Nuclear,2030,1,19,24,0.0
245,CH_Nuclear,2030,2,1,6,0.0
246,CH_Nuclear,2030,2,7,12,0.0
247,CH_Nuclear,2030,2,13,18,0.0
248,CH_Nuclear,2030,2,19,24,0.0
249,CH_Nuclear,2030,3,1,6,0.0
250,CH_Nuclear,2030,3,7,12,0.0
251,CH_Nuclear,2030,3,13,18,0.0
252,CH_Nuclear,2030,3,19,24,0.0
253,CH_Nuclear,2030,4,1,6,0.0
254,CH_Nuclear,2030,4,7,12,0.0
255,CH_Nuclear,2030,4,13,18,0.0
256,CH_Nuclear,2030,4,19,24,0.0
257,CH_Nuclear,2030,5,1,6,0.0
258,CH_Nuclear,2030,5,7,12,0.0
259,CH_Nuclear,2030,5,13,18,0.0
260,CH_Nuclear,2030,5,19,24,0.0
261,CH_Nuclear,2030,6,1,6,0.0
262,CH_Nuclear,2030,6,7,12,0.0
263,CH_Nuclear,2030,6,13,18,0.0
264,CH_Nuclear,2030,6,19,24,0.0
265,CH_Nuclear,2030,7,1,6,0.0
266,CH_Nuclear,2030,7,7,12,0.0
267,CH_Nuclear,2030,7,13,18,0.0
268,CH_Nuclear,2030,7,19,24,0.0
269,CH_Nuclear,2030,8,1,6,0.0
270,CH_Nuclear,2030,8,7,12,0.0
271,CH_Nuclear,2030,8,13,18,0.0
272,CH_Nuclear,2030,8,19,24,0.0
273,CH_Nuclear,2030,9,1,6,0.0
274,CH_Nuclear,2030,9,7,12,0.0
275,CH_Nuclear,2030,9,13,18,0.0
276,CH_Nuclear,2030,9,19,24,0.0
277,CH_Nuclear,2030,10,1,6,0.0
278,CH_Nuclear,2030,10,7,12,0.0
279,CH_Nuclear,2030,10,13,18,0.0
280,CH_Nuclear,2030,10,19,24,0.0
281,CH_OCGT,2030,1,1,6,0.0
282,CH_OCGT,2030,1,7,12,0.0
283,CH_OCGT,2030,1,13,18,0.0
284,CH_OCGT,2030,1,19,24,0.0
285,CH_OCGT,2030,2,1,6,0.0
286,CH_OCGT,2030,2,7,12,0.0
287,CH_OCGT,2030,2,13,18,0.0
288,CH_OCGT,2030,2,19,24,0.0
289,CH_OCGT,2030,3,1,6,0.0
290,CH_OCGT,2030,3,7,12,0.0
291,CH_OCGT,2030,3,13,18,0.0
292,CH_OCGT,2030,3,19,24,0.0
293,CH_OCGT,2030,4,1,6,0.0
294,CH_OCGT,2030,4,7,12,0.0
295,CH_OCGT,2030,4,13,18,0.0
296,CH_OCGT,2030,4,19,24,0.0
297,CH_OCGT,2030,5,1,6,0.0
298,CH_OCGT,2030,5,7,12,0.0
299,CH_OCGT,2030,5,13,18,0.0
300,CH_OCGT,2030,5,19,24,0.0
301,CH_OCGT,2030,6,1,6,0.0
302,CH_OCGT,2030,6,7,12,0.0
303,CH_OCGT,2030,6,13,18,0.0
304,CH_OCGT,2030,6,19,24,0.0
305,CH_OCGT,2030,7,1,6,0.0
306,CH_OCGT,2030,7,7,12,0.0
307,CH_OCGT,2030,7,13,18,0.0
308,CH_OCGT,2030,7,19,24,0.0
309,CH_OCGT,2030,8,1,6,0.0
310,CH_OCGT,2030,8,7,12,0.0
311,CH_OCGT,2030,8,13,18,0.0
312,CH_OCGT,2030,8,19,24,0.0
313,CH_OCGT,2030,9,1,6,0.0
314,CH_OCGT,2030,9,7,12,0.0
315,CH_OCGT,2030,9,13,18,0.0
316,CH_OCGT,2030,9,19,24,0.0
317,CH_OCGT,2030,10,1,6,0.0
318,CH_OCGT,2030,10,7,12,0.0
319,CH_OCGT,2030,10,13,18,0.0
320,CH_OCGT,2030,10,19,24,0.0
321,DE_CCGT,2030,1,1,6,0.0
322,DE_CCGT,2030,1,7,12,0.0
323,DE_CCGT,2030,1,13,18,0.0
324,DE_CCGT,2030,1,19,24,0.0
325,DE_CCGT,2030,2,1,6,0.0
326,DE_CCGT,2030,2,7,12,0.0
327,DE_CCGT,2030,2,13,18,0.0
328,DE_CCGT,2030,2,19,24,0.0
329,DE_CCGT,2030,3,1,6,0.0
330,DE_CCGT,2030,3,7,12,0.0
331,DE_CCGT,2030,3,13,18,0.0
332,DE_CCGT,2030,3,19,24,0.0
333,DE_CCGT,2030,4,1,6,0.0
334,DE_CCGT,2030,4,7,12,0.0
335,DE_CCGT,2030,4,13,18,0.0
336,DE_CCGT,2030,4,19,24,0.0
337,DE_CCGT,2030,5,1,6,0.0
338,DE_CCGT,2030,5,7,12,0.0
339,DE_CCGT,2030,5,13,18,0.0
340,DE_CCGT,2030,5,19,24,0.0
341,DE_CCGT,2030,6,1,6,0.0
342,DE_CCGT,2030,6,7,12,0.0
343,DE_CCGT,2030,6,13,18,0.0
344,DE_CCGT,2030,6,19,24,0.0
345,DE_CCGT,2030,7,1,6,0.0
346,DE_CCGT,2030,7,7,12,0.0
347,DE_CCGT,2030,7,13,18,0.0
348,DE_CCGT,2030,7,19,24,0.0
349,DE_CCGT,2030,8,1,6,0.0
350,DE_CCGT,2030,8,7,12,0.0
351,DE_CCGT,2030,8,13,18,0.0
352,DE_CCGT,2030,8,19,24,0.0
353,DE_CCGT,2030,9,1,6,0.0
354,DE_CCGT,2030,9,7,12,0.0
355,DE_CCGT,2030,9,13,18,0.0
356,DE_CCGT,2030,9,19,24,0.0
357,DE_CCGT,2030,10,1,6,0.0
358,DE_CCGT,2030,10,7,12,0.0
359,DE_CCGT,2030,10,13,18,0.0
360,DE_CCGT,2030,10,19,24,0.0
361,DE_Coal,2030,1,1,6,0.0
362,DE_Coal,2030,1,7,12,0.0
363,DE_Coal,2030,1,13,18,0.0
364,DE_Coal,2030,1,19,24,0.0
365,DE_Coal,2030,2,1,6,0.0
366,DE_Coal,2030,2,7,12,0.0
367,DE_Coal,2030,2,13,18,0.0
368,DE_Coal,2030,2,19,24,0.0
369,DE_Coal,2030,3,1,6,0.0
370,DE_Coal,2030,3,7,12,0.0
371,DE_Coal,2030,3,13,18,0.0
372,DE_Coal,2030,3,19,24,0.0
373,DE_Coal,2030,4,1,6,0.0
374,DE_Coal,2030,4,7,12,0.0
375,DE_Coal,2030,4,13,18,0.0
376,DE_Coal,2030,4,19,24,0.0
377,DE_Coal,2030,5,1,6,0.0
378,DE_Coal,2030,5,7,12,0.0
379,DE_Coal,2030,5,13,18,0.0
380,DE_Coal,2030,5,19,24,0.0
381,DE_Coal,2030,6,1,6,0.0
382,DE_Coal,2030,6,7,12,0.0
383,DE_Coal,2030,6,13,18,0.0
384,DE_Coal,2030,6,19,24,0.0
385,DE_Coal,2030,7,1,6,0.0
386,DE_Coal,2030,7,7,12,0.0
387,DE_Coal,2030,7,13,18,0.0
388,DE_Coal,2030,7,19,24,-3.3966000000000003
389,DE_Coal,2030,8,1,6,0.0
390,DE_Coal,2030,8,7,12,0.0
391,DE_Coal,2030,8,13,18,0.0
392,DE_Coal,2030,8,19,24,0.0
393,DE_Coal,2030,9,1,6,0.0
394,DE_Coal,2030,9,7,12,0.0
395,DE_Coal,2030,9,13,18,0.0
