id,asset,year,rep_period,time_block_start,time_block_end,dual_min_output_flow_with_unit_commitment
192,CH_OCGT,2030,2,21,24,0.0
193,CH_OCGT,2030,3,1,4,0.0
194,CH_OCGT,2030,3,5,8,0.0
195,CH_OCGT,2030,3,9,12,0.0
196,CH_OCGT,2030,3,13,16,0.0
197,CH_OCGT,2030,3,17,20,0.0
198,CH_OCGT,2030,3,21,24,0.0
199,CH_OCGT,2030,4,1,4,0.0
200,CH_OCGT,2030,4,5,8,0.0
201,CH_OCGT,2030,4,9,12,0.0
202,CH_OCGT,2030,4,13,16,0.0
203,CH_OCGT,2030,4,17,20,0.0
204,CH_OCGT,2030,4,21,24,0.0
205,CH_OCGT,2030,5,1,4,0.0
206,CH_OCGT,2030,5,5,8,0.0
207,CH_OCGT,2030,5,9,12,0.0
208,CH_OCGT,2030,5,13,16,0.0
209,CH_OCGT,2030,5,17,20,0.0
210,CH_OCGT,2030,5,21,24,0.0
211,CH_OCGT,2030,6,1,4,0.0
212,CH_OCGT,2030,6,5,8,0.0
213,CH_OCGT,2030,6,9,12,0.0
214,CH_OCGT,2030,6,13,16,0.0
215,CH_OCGT,2030,6,17,20,0.0
216,CH_OCGT,2030,6,21,24,0.0
217,CH_OCGT,2030,7,1,4,0.0
218,CH_OCGT,2030,7,5,8,0.0
219,CH_OCGT,2030,7,9,12,0.0
220,CH_OCGT,2030,7,13,16,0.0
221,CH_OCGT,2030,7,17,20,0.0
222,CH_OCGT,2030,7,21,24,0.0
223,CH_OCGT,2030,8,1,4,0.0
224,CH_OCGT,2030,8,5,8,0.0
225,CH_OCGT,2030,8,9,12,0.0
226,CH_OCGT,2030,8,13,16,0.0
227,CH_OCGT,2030,8,17,20,0.0
228,CH_OCGT,2030,8,21,24,0.0
229,CH_OCGT,2030,9,1,4,0.0
230,CH_OCGT,2030,9,5,8,0.0
231,CH_OCGT,2030,9,9,12,0.0
232,CH_OCGT,2030,9,13,16,0.0
233,CH_OCGT,2030,9,17,20,0.0
234,CH_OCGT,2030,9,21,24,0.0
235,CH_OCGT,2030,10,1,4,0.0
236,CH_OCGT,2030,10,5,8,0.0
237,CH_OCGT,2030,10,9,12,0.0
238,CH_OCGT,2030,10,13,16,0.0
239,CH_OCGT,2030,10,17,20,0.0
240,CH_OCGT,2030,10,21,24,0.0
241,DE_CCGT,2030,1,1,4,0.0
242,DE_CCGT,2030,1,5,8,0.0
243,DE_CCGT,2030,1,9,12,0.0
244,DE_CCGT,2030,1,13,16,0.0
245,DE_CCGT,2030,1,17,20,0.0
246,DE_CCGT,2030,1,21,24,0.0
247,DE_CCGT,2030,2,1,4,0.0
248,DE_CCGT,2030,2,5,8,0.0
249,DE_CCGT,2030,2,9,12,0.0
250,DE_CCGT,2030,2,13,16,0.0
251,DE_CCGT,2030,2,17,20,0.0
252,DE_CCGT,2030,2,21,24,0.0
253,DE_CCGT,2030,3,1,4,0.0
254,DE_CCGT,2030,3,5,8,0.0
255,DE_CCGT,2030,3,9,12,0.0
256,DE_CCGT,2030,3,13,16,0.0
257,DE_CCGT,2030,3,17,20,0.0
258,DE_CCGT,2030,3,21,24,0.0
259,DE_CCGT,2030,4,1,4,0.0
260,DE_CCGT,2030,4,5,8,0.0
261,DE_CCGT,2030,4,9,12,0.0
262,DE_CCGT,2030,4,13,16,0.0
263,DE_CCGT,2030,4,17,20,0.0
264,DE_CCGT,2030,4,21,24,0.0
265,DE_CCGT,2030,5,1,4,0.0
266,DE_CCGT,2030,5,5,8,0.0
267,DE_CCGT,2030,5,9,12,0.0
268,DE_CCGT,2030,5,13,16,0.0
269,DE_CCGT,2030,5,17,20,0.0
270,DE_CCGT,2030,5,21,24,0.0
271,DE_CCGT,2030,6,1,4,0.0
272,DE_CCGT,2030,6,5,8,0.0
273,DE_CCGT,2030,6,9,12,0.0
