id,asset,year,rep_period,time_block_start,time_block_end,unit_commitment_integer,asset_1,capacity,capacity_storage_energy,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,group,investment_integer,investment_integer_storage_energy,investment_method,is_seasonal,start_up_cost,shut_down_cost,max_ramp_down,max_ramp_up,min_operating_point,minimum_down_time,minimum_up_time,ramping,storage_method_energy,technical_lifetime,type,unit_commitment,unit_commitment_integer_1,unit_commitment_method,use_binary_storage_method,max_su_ramp,max_sd_ramp,start_trajectory,shut_trajectory,dual_limit_units_on_simple_method
38,BE_CCGT,2030,7,5,8,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
39,BE_CCGT,2030,7,9,12,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
40,BE_CCGT,2030,7,13,16,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
41,BE_CCGT,2030,7,17,20,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
42,BE_CCGT,2030,7,21,24,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
43,BE_CCGT,2030,8,1,4,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
44,BE_CCGT,2030,8,5,8,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
45,BE_CCGT,2030,8,9,12,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
46,BE_CCGT,2030,8,13,16,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
47,BE_CCGT,2030,8,17,20,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
48,BE_CCGT,2030,8,21,24,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
49,BE_CCGT,2030,9,1,4,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
50,BE_CCGT,2030,9,5,8,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
51,BE_CCGT,2030,9,9,12,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
52,BE_CCGT,2030,9,13,16,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
53,BE_CCGT,2030,9,17,20,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
54,BE_CCGT,2030,9,21,24,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
55,BE_CCGT,2030,10,1,4,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
56,BE_CCGT,2030,10,5,8,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
57,BE_CCGT,2030,10,9,12,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
58,BE_CCGT,2030,10,13,16,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
59,BE_CCGT,2030,10,17,20,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
60,BE_CCGT,2030,10,21,24,true,BE_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
61,BE_Coal,2030,1,1,4,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
62,BE_Coal,2030,1,5,8,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
63,BE_Coal,2030,1,9,12,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
64,BE_Coal,2030,1,13,16,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
65,BE_Coal,2030,1,17,20,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
66,BE_Coal,2030,1,21,24,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
67,BE_Coal,2030,2,1,4,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
68,BE_Coal,2030,2,5,8,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
69,BE_Coal,2030,2,9,12,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
70,BE_Coal,2030,2,13,16,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
71,BE_Coal,2030,2,17,20,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
72,BE_Coal,2030,2,21,24,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
73,BE_Coal,2030,3,1,4,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
74,BE_Coal,2030,3,5,8,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
75,BE_Coal,2030,3,9,12,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
76,BE_Coal,2030,3,13,16,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
77,BE_Coal,2030,3,17,20,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
78,BE_Coal,2030,3,21,24,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
79,BE_Coal,2030,4,1,4,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
80,BE_Coal,2030,4,5,8,true,BE_Coal,824.0,,,0.05,100,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,0.0,true,false,100,producer,true,true,basic,,0.38,0.38,"50,140,260","260,140,50",0.0
