id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
249,CH_Balance,2030,6,13,14,0.07200000000000001
250,CH_Balance,2030,6,15,15,0.0
251,CH_Balance,2030,6,16,16,0.07200000000000001
252,CH_Balance,2030,6,17,18,0.07200000000000001
253,CH_Balance,2030,6,19,20,0.3024
254,CH_Balance,2030,6,21,21,1.1880000000000002
255,CH_Balance,2030,6,22,22,0.0
256,CH_Balance,2030,6,23,24,0.07200000000000001
257,CH_Balance,2030,7,1,2,2.442
258,CH_Balance,2030,7,3,3,0.0
259,CH_Balance,2030,7,4,4,3.7739999999999996
260,CH_Balance,2030,7,5,6,3.7739999999999996
261,CH_Balance,2030,7,7,8,3.7739999999999996
262,CH_Balance,2030,7,9,9,3.7739999999999996
263,CH_Balance,2030,7,10,10,0.0
264,CH_Balance,2030,7,11,12,3.7739999999999996
265,CH_Balance,2030,7,13,14,3.7739999999999996
266,CH_Balance,2030,7,15,15,3.7739999999999996
267,CH_Balance,2030,7,16,16,0.0
268,CH_Balance,2030,7,17,18,3.7739999999999996
269,CH_Balance,2030,7,19,20,11.536465705666302
270,CH_Balance,2030,7,21,21,3.7739999999999996
271,CH_Balance,2030,7,22,22,0.0
272,CH_Balance,2030,7,23,24,3.7739999999999996
273,CH_Balance,2030,8,1,2,0.5207999999999999
274,CH_Balance,2030,8,3,3,0.0
275,CH_Balance,2030,8,4,4,0.5207999999999999
276,CH_Balance,2030,8,5,6,0.5207999999999999
277,CH_Balance,2030,8,7,8,0.5207999999999999
278,CH_Balance,2030,8,9,9,0.0
279,CH_Balance,2030,8,10,10,0.124
280,CH_Balance,2030,8,11,12,0.124
281,CH_Balance,2030,8,13,14,0.124
282,CH_Balance,2030,8,15,15,0.0
283,CH_Balance,2030,8,16,16,0.124
284,CH_Balance,2030,8,17,18,0.124
285,CH_Balance,2030,8,19,20,0.124
286,CH_Balance,2030,8,21,21,0.124
287,CH_Balance,2030,8,22,22,0.0
288,CH_Balance,2030,8,23,24,0.124
289,CH_Balance,2030,9,1,2,0.7223999999999999
290,CH_Balance,2030,9,3,3,0.0
291,CH_Balance,2030,9,4,4,0.7223999999999999
292,CH_Balance,2030,9,5,6,0.7223999999999999
293,CH_Balance,2030,9,7,8,0.7223999999999999
294,CH_Balance,2030,9,9,9,0.0
295,CH_Balance,2030,9,10,10,0.17200000000000001
296,CH_Balance,2030,9,11,12,0.17200000000000001
297,CH_Balance,2030,9,13,14,0.17200000000000001
298,CH_Balance,2030,9,15,15,0.0
299,CH_Balance,2030,9,16,16,0.17199999999999993
300,CH_Balance,2030,9,17,18,0.17200000000000001
301,CH_Balance,2030,9,19,20,0.8643000000000001
302,CH_Balance,2030,9,21,21,0.0
303,CH_Balance,2030,9,22,22,0.8643000000000001
304,CH_Balance,2030,9,23,24,0.8643000000000001
305,CH_Balance,2030,10,1,2,4.691999999999999
306,CH_Balance,2030,10,3,3,0.0
307,CH_Balance,2030,10,4,4,4.691999999999999
308,CH_Balance,2030,10,5,6,4.691999999999999
309,CH_Balance,2030,10,7,8,4.691999999999999
310,CH_Balance,2030,10,9,9,0.0
311,CH_Balance,2030,10,10,10,4.691999999999999
312,CH_Balance,2030,10,11,12,3.036
313,CH_Balance,2030,10,13,14,3.036
314,CH_Balance,2030,10,15,15,3.036
315,CH_Balance,2030,10,16,16,0.0
316,CH_Balance,2030,10,17,18,3.036
317,CH_Balance,2030,10,19,20,3.036
318,CH_Balance,2030,10,21,21,0.0
319,CH_Balance,2030,10,22,22,3.036
320,CH_Balance,2030,10,23,24,3.036
321,DE_Balance,2030,1,1,2,1.0653000000000001
322,DE_Balance,2030,1,3,3,5.406
323,DE_Balance,2030,1,4,4,0.0
324,DE_Balance,2030,1,5,6,5.406
325,DE_Balance,2030,1,7,8,5.406
326,DE_Balance,2030,1,9,9,0.0
327,DE_Balance,2030,1,10,10,5.406
328,DE_Balance,2030,1,11,12,3.498
329,DE_Balance,2030,1,13,14,0.8904
330,DE_Balance,2030,1,15,15,0.0
331,DE_Balance,2030,1,16,16,0.8904
332,DE_Balance,2030,1,17,18,5.406
333,DE_Balance,2030,1,19,20,5.406
334,DE_Balance,2030,1,21,21,5.406
335,DE_Balance,2030,1,22,22,0.0
336,DE_Balance,2030,1,23,24,0.212
337,DE_Balance,2030,2,1,2,0.132
338,DE_Balance,2030,2,3,3,0.0
339,DE_Balance,2030,2,4,4,0.132
340,DE_Balance,2030,2,5,6,0.132
341,DE_Balance,2030,2,7,8,0.132
342,DE_Balance,2030,2,9,9,0.132
343,DE_Balance,2030,2,10,10,0.0
344,DE_Balance,2030,2,11,12,0.132
345,DE_Balance,2030,2,13,14,0.132
346,DE_Balance,2030,2,15,15,0.0
347,DE_Balance,2030,2,16,16,0.132
348,DE_Balance,2030,2,17,18,2.178
349,DE_Balance,2030,2,19,20,2.178
350,DE_Balance,2030,2,21,21,0.132
351,DE_Balance,2030,2,22,22,0.0
352,DE_Balance,2030,2,23,24,0.132
353,DE_Balance,2030,3,1,2,0.116
354,DE_Balance,2030,3,3,3,0.116
355,DE_Balance,2030,3,4,4,0.0
356,DE_Balance,2030,3,5,6,0.116
357,DE_Balance,2030,3,7,8,0.116
358,DE_Balance,2030,3,9,9,0.116
359,DE_Balance,2030,3,10,10,0.0
360,DE_Balance,2030,3,11,12,0.116
361,DE_Balance,2030,3,13,14,0.116
362,DE_Balance,2030,3,15,15,0.0
363,DE_Balance,2030,3,16,16,0.116
364,DE_Balance,2030,3,17,18,0.116
365,DE_Balance,2030,3,19,20,0.116
366,DE_Balance,2030,3,21,21,0.116
367,DE_Balance,2030,3,22,22,0.0
368,DE_Balance,2030,3,23,24,0.116
369,DE_Balance,2030,4,1,2,0.092
370,DE_Balance,2030,4,3,3,0.0
371,DE_Balance,2030,4,4,4,0.092
372,DE_Balance,2030,4,5,6,0.092
373,DE_Balance,2030,4,7,8,2.3459999999999996
374,DE_Balance,2030,4,9,9,0.38639999999999997
375,DE_Balance,2030,4,10,10,0.0
376,DE_Balance,2030,4,11,12,0.092
377,DE_Balance,2030,4,13,14,0.092
378,DE_Balance,2030,4,15,15,0.092
379,DE_Balance,2030,4,16,16,0.0
380,DE_Balance,2030,4,17,18,9.415331411332618
381,DE_Balance,2030,4,19,20,0.092
382,DE_Balance,2030,4,21,21,0.092
383,DE_Balance,2030,4,22,22,0.0
384,DE_Balance,2030,4,23,24,0.092
385,DE_Balance,2030,5,1,2,0.20800000000000002
386,DE_Balance,2030,5,3,3,0.0
387,DE_Balance,2030,5,4,4,0.20800000000000002
388,DE_Balance,2030,5,5,6,0.20800000000000002
389,DE_Balance,2030,5,7,8,0.20800000000000002
390,DE_Balance,2030,5,9,9,0.0
391,DE_Balance,2030,5,10,10,0.20800000000000002
392,DE_Balance,2030,5,11,12,0.20800000000000002
393,DE_Balance,2030,5,13,14,0.20800000000000002
394,DE_Balance,2030,5,15,15,0.20800000000000002
395,DE_Balance,2030,5,16,16,0.0
396,DE_Balance,2030,5,17,18,0.20800000000000002
397,DE_Balance,2030,5,19,20,0.20800000000000002
398,DE_Balance,2030,5,21,21,0.0
399,DE_Balance,2030,5,22,22,0.20800000000000002
400,DE_Balance,2030,5,23,24,0.20800000000000002
401,DE_Balance,2030,6,1,2,0.3617999999999999
402,DE_Balance,2030,6,3,3,0.3617999999999999
403,DE_Balance,2030,6,4,4,0.0
